,Endereço,Latitude,Longitude
131,"AV ALBERTO BINS, 434",-30.0280137,-51.2223161
132,"AV PLINIO BRASIL MILANO, 450",-30.0219624,-51.1868863
133,"AV OTAVIO ROCHA, 71",-30.0286207,-51.22592239999999
134,"AV EDUARDO PRADO, 2080/215",-30.1369576,-51.2195001
135,"AV FRANCISCO SILVEIRA BITENCOURT, 1245",-29.99333570000001,-51.1179241
136,"AV FERNANDO FERRARI, 1001",-29.9783225,-51.16712279999999
137,"AV IRMAO FAUSTINO JOAO, 930",-30.0261737,-51.0924718
138,"ESTR JOAO SALOMONI, 600/115",-30.1127881,-51.2207519
139,"AV ASSIS BRASIL, 164",-30.0062565,-51.184282
140,"R RUDI SCHALY, 125",-30.00916179999999,-51.10079899999999
141,"R ANDRADAS, 1001/26",-30.03095960000001,-51.231404
142,"AV BENTO GONCALVES, 985/101",-30.0533722,-51.2034129
143,"AV EDUARDO PRADO, 313/101",-30.1225358,-51.22210159999999
144,"R BANGU, 470",-29.98750279999999,-51.1156459
145,"R GEN LIMA E SILVA, 1037",-30.0414304,-51.21825639999999
146,"AV JULIO DE CASTILHOS, 265",-30.0257171,-51.2242832
147,"AV JOAO WALLIG, 1800/2224",-30.0257617,-51.16290189999999
148,"AV NILO RUSCHEL, 53",-30.0407257,-51.13235239999999
149,"AV FARRAPOS, 1269",-30.0195029,-51.2099664
150,"AV PROTASIO ALVES, 2302/203",-30.043590500000004,-51.1861738
151,"R NOVE DE JUNHO, 602",-30.0674948,-51.162012
152,"R SOUZA REIS, 62",-30.0066451,-51.1904438
153,"R BARAO DO AMAZONAS, 438",-30.0476753,-51.18591559999999
154,"AV SERTORIO, 7270",-29.9992322,-51.1335285
155,"R ALBION, 111/21",-30.0605035,-51.1642739
156,"AV CAVALHADA, 3160/115",-30.104039,-51.22970369999999
157,"R DR TIMOTEO, 111",-30.0159267,-51.2003803
158,"AV GEN EMILIO LUCIO ESTEVES, 262",-30.0063559,-51.1788845
159,"R CHAVES BARCELOS, 169",-30.02580369999999,-51.2231015
160,"AV VENANCIO AIRES, 859/1",-30.0388076,-51.2120488
161,"AV PROF OSCAR PEREIRA, 2317",-30.0708414,-51.20431
162,"AV TULIO DE ROSE, 80/107",-30.0216867,-51.1624443
163,"AV BOGOTA, 485",-30.0058209,-51.14852270000001
164,"R JOAO ABBOTT, 710",-30.0406854,-51.1827074
165,"AV NOVA YORK, 34",-30.0218825,-51.195018
166,"R GARIBALDI, 1220",-30.031416,-51.215193
167,"AV TERESOPOLIS, 3426",-30.0823247,-51.2126175
168,"R GONCALVES LEDO, 38",-30.0562971,-51.1970187
169,"R CORREA LIMA, 660/2",-30.0648376,-51.22348419999999
170,"R DR VALE, 24/403",-30.022211,-51.208385
171,"R BARAO DO TRIUNFO, 720/305",-30.05249049999999,-51.21433099999999
172,"AV SAO PEDRO, 1507",-30.01341020000001,-51.1944329
173,"R TEN ALPOIM, 307",-30.0664578,-51.1791972
174,"AV TAPIACU, 316",-30.0109396,-51.1716556
175,"R SAO CARLOS, 621/1",-30.0209535,-51.210034
176,"AV BALTAZAR DE OLIVEIRA GARCIA, 931",-30.0100884,-51.1345536
177,"AV PROTASIO ALVES, 6602/10",-30.0427562,-51.1450961
178,"R GONCALO DE CARVALHO, 209/205",-30.0276647,-51.2119923
179,"R BARAO DE SANTO ANGELO, 331/2",-30.0230376,-51.2043192
180,"AV SATURNINO DE BRITO, 1530",-30.0283902,-51.1509498
181,"R MARCOS MOREIRA, 119/208",-30.018891600000003,-51.15724549999999
182,"ESTR JOAO ANTONIO SILVEIRA, 1770",-30.1550827,-51.141391
183,"AV CRISTOVAO COLOMBO, 545/1101",-30.0258912,-51.2115294
184,"AV BRASIL, 1401",-30.007593,-51.19354509999999
185,"AV BALTAZAR DE OLIVEIRA GARCIA, 1670",-30.0111863,-51.1277607
186,"AV ASSIS BRASIL, 6410/4",-29.9946174,-51.1302931
187,"R SAO FELIPE, 292",-30.0442487,-51.1541201
188,"AV CRISTOVAO COLOMBO, 2427/503",-30.0181511,-51.1959011
189,"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 1",-29.9137392,-51.08313620000001
190,"AV AZENHA, 616",-30.049274100000005,-51.2130059
191,"AV ICARAI, 450",-30.0838424,-51.2400023
192,"AV CRISTOVAO COLOMBO, 2149/401",-30.0182326,-51.19882310000001
193,"AV ASSIS BRASIL, 2060",-30.0115718,-51.1669335
194,"AV INDEPENDENCIA, 706/402",-30.0292708,-51.21419179999999
195,"R ERNESTO ALVES, 47",-30.0239069,-51.21601279999999
196,"R ITAPEMA, 132",-30.03096780000001,-51.1522484
197,"AV MARTINS BASTOS, 305/1",-29.9881539,-51.1318776
198,"AV BERNARDINO SILVEIRA DE AMORIM, 661",-29.9863054,-51.11100070000001
199,"AV CRISTOVAO COLOMBO, 1724/201",-30.0181349,-51.2038913
200,"AV BENTO GONCALVES, 5287",-30.0623934,-51.16244260000001
201,"R RIACHUELO, 1454",-30.031515,-51.2271381
202,"R GEN JONATHAS BORGES FORTES, 318",-30.076306899999995,-51.19345560000001
203,"AV PERNAMBUCO, 1909",-30.00956810000001,-51.2011223
204,"R FREDERICO MENTZ, 1561/520",-29.9961174,-51.2024508
205,"AV MANOEL ELIAS, 2144/7",-30.0345229,-51.1213741
206,"R BEZERRA DE MENEZES, 87/201",-30.012688,-51.168932
207,"R GEN CAMARA, 455",-30.0313446,-51.2301931
208,"AV PLINIO BRASIL MILANO, 1085",-30.020868300000004,-51.1803942
209,"R TEN ARY TARRAGO, 3319",-30.011875,-51.130859
210,"R TEN ARY TARRAGO, 1280",-30.0309967,-51.1341922
211,"R ANGELO DOURADO, 423",-29.9762283,-51.1728964
212,"AV ASSIS BRASIL, 3316/811",-30.0101904,-51.1538816
213,"AV JOAO OBINO, 187",-30.0353514,-51.1820542
214,"AV SENADOR SALGADO FILHO, 306",-30.03092860000001,-51.22462410000001
215,"R GEN VITORINO, 312",-30.030461,-51.223575
216,"AV SAO PEDRO, 1400",-30.0128425,-51.19546740000001
217,"AV PRESIDENTE FRANKLIN ROOSEVELT, 777",-30.00658809999999,-51.2024722
218,"AV JOAO WALLIG, 2132",-30.0294442,-51.1645865
219,"R FELIZARDO FURTADO, 348/1",-30.0473182,-51.1834381
220,"PCA CONDE DE PORTO ALEGRE, 41/1",-30.0316873,-51.2248634
221,"AV FRANCISCO SILVEIRA BITENCOURT, 442",-29.99343989999999,-51.1244275
222,"R GENOVA, 76",-30.065803,-51.1486013
223,"R DR CECILIO MONZA, 10914",-30.209925,-51.18125300000001
224,"R ANITA GARIBALDI, 420/1",-30.0269449,-51.1918555
225,"AV FARRAPOS, 2158",-30.0135403,-51.20421760000001
226,"AV JOSE LUTZENBERGER, 9",-29.97894849999999,-51.17717349999999
227,"AV RIO GRANDE, 442",-30.0061087,-51.2060891
228,"R GEN JOAO MANOEL, 157/601",-30.0297874,-51.2341018
229,"AV ERICO VERISSIMO, 1214",-30.055885,-51.2180524
230,"R FREDERICO MENTZ, 1561/129",-29.9961174,-51.2024508
231,"AV PROTASIO ALVES, 7895",-30.0417392,-51.132614
232,"R DEMETRIO RIBEIRO, 828",-30.0359683,-51.23120170000001
233,"R OLAVO BILAC, 251",-30.04293419999999,-51.216817
234,"AV BENJAMIN CONSTANT, 1669",-30.0157467,-51.1966027
235,"R ABAETE, 82",-29.99504009999999,-51.1288934
236,"R BRITO PEIXOTO, 317/1",-30.0102208,-51.1662522
237,"AV DIARIO DE NOTICIAS, 300/1074",-30.0831553,-51.2467464
238,"AV OTTO NIEMEYER, 601/11",-30.1103222,-51.25275629999999
239,"R SILVA JARDIM, 20",-30.0224046,-51.1905245
240,"R CAIAPO, 121/3",-30.1030874,-51.25189470000001
241,"AV CAVALHADA, 4839/3",-30.1182709,-51.2245892
242,"R SEZEFREDO IGNACIO DE OLIVEIRA, 198",-30.0164555,-51.1208494
243,"AV OTAVIO ROCHA, 115/304",-30.028741,-51.2255167
244,"R CANCIO GOMES, 485",-30.0177947,-51.2081857
245,"AV SAO PAULO, 636/501",-30.008531,-51.204356
246,"AV JULIO DE CASTILHOS, 325",-30.0255735,-51.2237904
247,"R DOM PEDRO II, 1046/2",-30.016483500000003,-51.1863974
248,"PCA RUI BARBOSA, 179",-30.0258987,-51.22429320000001
249,"R VIGARIO JOSE IGNACIO, 250/33",-30.0278851,-51.2254643
250,"AV FERNANDO FERRARI, 1001/3",-29.9783225,-51.16712279999999
251,"AV PROF OSCAR PEREIRA, 2890",-30.075676,-51.201137
252,"R CAPAO DO LEAO, 30",-30.04551439999999,-51.1492686
253,"R AUGUSTO SEVERO, 446",-30.0030737,-51.1890502
254,"AV JOAO PESSOA, 847",-30.0391396,-51.2181144
255,"AV PAULO PONTES, 648",-30.1064598,-51.22641609999999
256,"AV ICARAI, 1204",-30.0893668,-51.24136770000001
257,"R VOLUNTARIOS DA PATRIA, 313/32",-29.9793827,-51.1998364
258,"R IRMAO JOSE OTAO, 188",-30.030713899999995,-51.2164992
259,"AV INDEPENDENCIA, 30/14",-30.0292751,-51.2214265
260,"AV OSVALDO ARANHA, 1407/19",-30.0372459,-51.20875479999999
261,"AV PERNAMBUCO, 2520",-30.014966,-51.20223350000001
262,"AV BENTO GONCALVES, 4790",-30.06163230000001,-51.167970200000006
263,"AV PRESIDENTE FRANKLIN ROOSEVELT, 637",-30.0053709,-51.2021131
264,"AV ASSIS BRASIL, 6658",-29.9929809,-51.1285848
265,"AV SOUZA MELO, 246/3",-29.9817378,-51.1371814
266,"AV ASSIS BRASIL, 2480",-30.0109716,-51.16250369999999
267,"AV BALTAZAR DE OLIVEIRA GARCIA, 1541",-30.0118949,-51.12926229999999
268,"R CEL MASSOT, 1527",-30.0977391,-51.23338620000001
269,"AV DELEGADO ELY CORREA PRADO, 55",-30.0409415,-51.1042955
270,"R SAO SALVADOR, 98",-30.0075877,-51.1813268
271,"R MONTE ALEGRE, 140",-30.0029738,-51.15556979999999
272,"AV CRISTOVAO COLOMBO, 780",-30.0240459,-51.2107103
273,"AV IPIRANGA, 8803",-30.062657300000005,-51.1511124
274,"AV DR CARLOS BARBOSA, 985",-30.06413060000001,-51.2124336
275,"AV BENTO GONCALVES, 2249/2",-30.059940500000003,-51.19234720000001
276,"R JOAQUIM SILVEIRA, 1058",-30.0003691,-51.14262369999999
277,"R DR BARCELOS, 1338",-30.1043738,-51.2458859
278,"R VOLUNTARIOS DA PATRIA, 70/33",-30.02739170000001,-51.22594350000001
279,"R PRIMEIRO DE SETEMBRO, 507",-30.0672291,-51.1638579
280,"AV FARRAPOS, 132",-29.9969312,-51.1915219
281,"R DEMETRIO RIBEIRO, 468",-30.03554,-51.2348502
282,"R TEN CEL MARIO DOERNTE, 170",-30.130320399999995,-51.2312927
283,"R VOLUNTARIOS DA PATRIA, 170/24",-30.026975,-51.2248678
284,"AV CRISTOVAO COLOMBO, 545/1123",-30.0258912,-51.2115294
285,"R COMENDADOR TAVARES, 219",-30.00028,-51.2039186
286,"AV DIARIO DE NOTICIAS, 300/1100",-30.0831553,-51.2467464
287,"R JOSEFA BARRETO, 5",-30.0133042,-51.1266356
288,"R FELIPE CAMARAO, 467",-30.0332803,-51.20976629999999
289,"AV PROF OSCAR PEREIRA, 2502",-30.0724811,-51.2031713
290,"R PRIMEIRO DE MARCO, 458",-30.0658053,-51.1658154
291,"R VIGARIO JOSE IGNACIO, 508/137",-30.0302135,-51.2256997
292,"R VOLUNTARIOS DA PATRIA, 4069/4",-29.9992437,-51.2056484
293,"AV OTTO NIEMEYER, 2552",-30.1027358,-51.23418359999999
294,"AV AZENHA, 870/2",-30.051639,-51.21310080000001
295,"AV ERICO VERISSIMO, 583",-30.0505075,-51.2182963
296,"AV NOVA YORK, 10/309",-30.02209629999999,-51.1951042
297,"AV MARTINS BASTOS, 488/2",-29.9878183,-51.1299891
298,"AV BORGES DE MEDEIROS, 600",-30.031731,-51.22763120000001
299,"AV BORGES DE MEDEIROS, 352",-30.029632,-51.2277232
300,"R CONSELHEIRO D'AVILA, 354",-30.0016595,-51.1589827
301,"AV TERESOPOLIS, 3683/2",-30.0844376,-51.2145371
302,"TRAV TEN ASCENCIO SOARES FOGACA, 107",-30.0668203,-51.1628453
303,"AV BALTAZAR DE OLIVEIRA GARCIA, 1919",-30.012404600000004,-51.1253681
304,"ESTR COSTA GAMA, 99/2",-30.1455455,-51.1579029
305,"AV CAVALHADA, 2479",-30.09826,-51.2316982
306,"R CONSELHEIRO BRUSQUE, 246",-30.0119664,-51.1402639
307,"R ZEFERINO DIAS, 323/2",-30.0026325,-51.1311492
308,"R DR FLORES, 105/212",-30.0281315,-51.2248061
309,"R CARAZINHO, 301",-30.040698,-51.1834559
310,"AV PROTASIO ALVES, 6285",-30.0419126,-51.1482213
311,"AV BORGES DE MEDEIROS, 659/501",-30.0322205,-51.2280096
312,"AV OSVALDO ARANHA, 518",-30.0328797,-51.2169924
313,"AV DIARIO DE NOTICIAS, 300/1072",-30.0831553,-51.2467464
314,"R DR CAMPOS VELHO, 1299/301",-30.09304160000001,-51.2330668
315,"AV BENTO GONCALVES, 6733",-30.0674435,-51.1491671
316,"R CONSELHEIRO TRAVASSOS, 227",-30.010743800000004,-51.208011600000006
317,"R GEN MARCOS KRUCHIN, 176",-29.9855634,-51.1955349
318,"AV DR CARLOS BARBOSA, 1458",-30.0683862,-51.2129188
319,"AV DR CARLOS BARBOSA, 28/1",-30.0562637,-51.2147167
320,"AV CRISTOVAO COLOMBO, 545/1105",-30.0258912,-51.2115294
321,"AV ANTONIO CARVALHO, 1657/3",-30.0547857,-51.1469506
322,"R DR LAURO DE OLIVEIRA, 71/19",-30.0360664,-51.2003925
323,"AV BENJAMIN CONSTANT, 1130/303",-30.0118119,-51.1936018
324,"AV ASSIS BRASIL, 164/40",-30.0078778,-51.1845315
325,"AV GOETHE, 137",-30.0303354,-51.2023276
326,"AV ASSIS BRASIL, 164/50",-30.0078778,-51.1845315
327,"AV PLINIO BRASIL MILANO, 1245",-30.0203054,-51.1789439
328,"R DR DEOCLECIO PEREIRA, 344",-30.0018139,-51.1602508
329,"R PROF CARVALHO FREITAS, 546",-30.0778146,-51.20624489999999
330,"AV IGUASSU, 515",-30.038182899999995,-51.1764222
331,"R PELOTAS, 207",-30.0226576,-51.2132739
332,"R MONTEIRO LOBATO, 470",-30.052071500000004,-51.19550049999999
333,"AV VENANCIO AIRES, 140/302",-30.0423018,-51.218619200000006
334,"R VITOR VALPIRIO, 91",-29.9793245,-51.1731919
335,"AV ALBERTO BINS, 438",-30.0280152,-51.2222898
336,"AV CRISTOVAO COLOMBO, 545/2205",-30.0258912,-51.2115294
337,"AV BALTAZAR DE OLIVEIRA GARCIA, 3457/1",-30.0155948,-51.1105999
338,"R SETE DE SETEMBRO, 1126/334",-30.028836100000003,-51.2294263
339,"AV WENCESLAU ESCOBAR, 1092/102",-30.099720399999995,-51.24840649999999
340,"R PADRE DIOGO FEIJO, 382",-29.997612300000004,-51.191992
341,"AV SERTORIO, 7265",-29.999428,-51.13383770000001
342,"R FARIA SANTOS, 414",-30.046454200000003,-51.1908152
343,"AV WENCESLAU ESCOBAR, 1164",-30.1005925,-51.248712
344,"AV INDUSTRIAS, 842",-29.986236,-51.164789
345,"AV SERTORIO, 5905",-29.9983795,-51.1459206
346,"AV EDGAR PIRES DE CASTRO, 3707",-30.1625154,-51.1571287
347,"AV BORGES DE MEDEIROS, 2055",-30.0447129,-51.22923660000001
348,"R ANCHIETA, 328",-30.071412899999995,-51.2054981
349,"R CASEMIRO DE ABREU, 1216",-30.0329408,-51.19544310000001
350,"AV BENTO GONCALVES, 8235",-30.0746734,-51.1359279
351,"AV PROF OSCAR PEREIRA, 77",-30.0519652,-51.21275670000001
352,"AV CEL APARICIO BORGES, 1048",-30.072826,-51.197804100000006
353,"AV NONOAI, 821",-30.0907522,-51.21962509999999
354,"AV BALTAZAR DE OLIVEIRA GARCIA, 1880",-30.0119907,-51.1257303
355,"AV MANOEL ELIAS, 555",-30.0202032,-51.1198689
356,"AV LOUREIRO DA SILVA, 1630",-30.0368412,-51.2257693
357,"AV PROTASIO ALVES, 7568",-30.0423545,-51.135313
358,"AV EDGAR PIRES DE CASTRO, 3020",-30.1578288,-51.1616064
359,"AV BENTO GONCALVES, 2599",-30.06181,-51.18924000000001
360,"AV OTTO NIEMEYER, 1043",-30.1080773,-51.248580800000006
361,"AV SERTORIO, 6315",-29.9981364,-51.1441342
362,"AV PRINCESA ISABEL, 688",-30.0474881,-51.20684489999999
363,"AV BORGES DE MEDEIROS, 2205",-30.0460605,-51.22938449999999
364,"AV SERTORIO, 5405",-29.9981153,-51.1512748
365,"AV MANOEL ELIAS, 1870",-30.0325569,-51.1212013
366,"R VICENTE DA FONTOURA, 850",-30.0505967,-51.205668900000006
367,"AV ASSIS BRASIL, 1745",-29.9792857,-51.1143153
368,"AV GAUCHOS, 512",-29.990329100000004,-51.1312505
369,"AV JOAO PESSOA, 2434",-30.0503092,-51.2090419
370,"R OLAVO BARRETO VIANA, 36/320",-30.02331,-51.20111179999999
371,"AV BERNARDINO SILVEIRA DE AMORIM, 1021",-29.9895312,-51.109741
372,"R BARAO DO AMAZONAS, 1534/4",-30.057020399999995,-51.19030129999999
373,"AV TERESOPOLIS, 3248",-30.081461600000004,-51.2110151
374,"AV BENTO GONCALVES, 4875/9",-30.061936,-51.1667987
375,"AV OSVALDO ARANHA, 1429",-30.03704149999999,-51.208661
376,"AV FARRAPOS, 2940",-30.0069289,-51.20150570000001
377,"AV ASSIS BRASIL, 3316/407",-30.0101904,-51.1538816
378,"R FERNANDO GOMES, 136",-30.0263897,-51.2051459
379,"AV ASSIS BRASIL, 4600",-30.0077631,-51.14207570000001
380,"R SIMAO KAPPEL, 297",-29.9959522,-51.19929759999999
381,"AV IPIRANGA, 7721",-30.0559399,-51.160692
382,"AV BALTAZAR DE OLIVEIRA GARCIA, 259",-30.0099119,-51.14172010000001
383,"AV GETULIO VARGAS, 766",-30.0513349,-51.221611
384,"AV CEARA, 617",-30.0013529,-51.1915978
385,"AV BENTO GONCALVES, 4357",-30.0618207,-51.17240579999999
386,"R DONA ALZIRA, 31/1",-30.0098711,-51.1384026
387,"R CHAVANTES, 636",-30.1037823,-51.255135
388,"AV OSVALDO ARANHA, 1407/22",-30.0372459,-51.20875479999999
389,"AV SOUZA MELO, 628",-29.9811867,-51.129207
390,"AV BALTAZAR DE OLIVEIRA GARCIA, 2079",-30.0129347,-51.1241605
